"age","sex","ndepchld","wage","working","married","wage_ln","educ"
39,"female",3,NA,0,1,NA,11
57,"female",0,406.25,1,1,6.00696849822998,10
43,"female",1,531.25,1,1,6.27523279190063,11
57,"female",0,NA,0,1,NA,10
39,"female",2,483.870971679688,1,1,6.18181848526001,10
33,"female",2,556.333312988281,1,1,6.3213677406311,12
45,"female",0,NA,0,1,NA,11
39,"female",3,1372.14135742188,1,1,7.22412776947021,16
56,"female",0,2102.15380859375,1,1,7.65071773529053,18
38,"female",2,1538.46154785156,1,1,7.33853816986084,11
56,"female",0,1005.91717529297,1,1,6.91365480422974,11
69,"female",0,NA,0,1,NA,10
40,"female",2,475,1,1,6.16331481933594,11
50,"female",0,NA,0,1,NA,10
65,"female",0,NA,0,1,NA,13
53,"female",0,769.230773925781,1,1,6.64539098739624,16
69,"female",0,NA,0,1,NA,11
59,"female",0,NA,0,1,NA,11
46,"female",2,1000,1,1,6.90775537490845,11
53,"female",0,431,1,1,6.06610822677612,10
35,"female",3,725.274719238281,1,1,6.58655071258545,11
63,"female",0,NA,0,1,NA,11
37,"female",0,1274.36376953125,1,1,7.15020227432251,12
68,"female",0,NA,0,1,NA,11
68,"female",0,NA,0,1,NA,10
